ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016","04000US36","New York",193595,7265.4263467466235,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016","04000US36","New York",155476,6394.576608345545,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2016,"2016","04000US36","New York",55120,3748.2382528329226,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2016,"2016","04000US36","New York",198463,7529.401105001646,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2016,"2016","04000US36","New York",242762,9627.798346454914,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016","04000US36","New York",177595,7790.3137934232145,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2016,"2016","04000US36","New York",213422,7482.380637203643,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2016,"2016","04000US36","New York",70675,4935.166157283867,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2016,"2016","04000US36","New York",37151,2943.8799228229404,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2016,"2016","04000US36","New York",406890,10341.64803114088,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2016,"2016","04000US36","New York",493743,12343.584446991075,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2016,"2016","04000US36","New York",2283,822.7812589017811,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2016,"2016","04000US36","New York",171336,7874.908634390625,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2016,"2016","04000US36","New York",76555,4639.1060561276245,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2016,"2016","04000US36","New York",97157,5180.059073022237,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2016,"2016","04000US36","New York",197380,7367.418272366514,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2016,"2016","04000US36","New York",51591,4389.219634513634,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2015,"2015","04000US36","New York",415400,12017.364519727276,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2015,"2015","04000US36","New York",231176,8456.184718890665,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2015,"2015","04000US36","New York",104291,5020.392116159852,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2015,"2015","04000US36","New York",37983,3429.1656419601545,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2015,"2015","04000US36","New York",36662,3095.3823673336383,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2015,"2015","04000US36","New York",84705,5336.751071579038,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2015,"2015","04000US36","New York",83491,4791.556114666717,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2015,"2015","04000US36","New York",264243,8129.468924843737,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015","04000US36","New York",193386,7621.181535693793,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015","04000US36","New York",150434,5816.425878492737,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2015,"2015","04000US36","New York",62433,3900.2570428114095,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2015,"2015","04000US36","New York",189995,8394.779568279324,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2015,"2015","04000US36","New York",250799,9124.503328948926,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015","04000US36","New York",180278,7880.731755363839,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2015,"2015","04000US36","New York",199210,8037.077329477425,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015","04000US36","New York",74019,4914.877414544538,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2015,"2015","04000US36","New York",39033,3488.8394918654544,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2015,"2015","04000US36","New York",394012,10625.450390454043,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2015,"2015","04000US36","New York",501014,10634.82698495843,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2015,"2015","04000US36","New York",3635,1138.9701488625592,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2015,"2015","04000US36","New York",173761,7763.459087288345,"New York, NY","16000US3651000","new-york-ny"
