ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
23,"Building & Grounds Cleaning & Maintenance Occupations",2013,"2013",22673,1191,"New York, NY","16000US3651000","new-york-ny"
33,"Production Occupations",2014,"2014",22454,1140,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2016,"2016",22380,324,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2016,"2016",22343,1006,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2015,"2015",22297,486,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2013,"2013",22232,1713,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2015,"2015",22212,755,"New York, NY","16000US3651000","new-york-ny"
18,"Healthcare Support Occupations",2017,"2017",22175,530,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2016,"2016",22140,4179,"New York, NY","16000US3651000","new-york-ny"
35,"Material Moving Occupations",2014,"2014",22128,1277,"New York, NY","16000US3651000","new-york-ny"
23,"Building & Grounds Cleaning & Maintenance Occupations",2014,"2014",22067,806,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2017,"2017",22020,536,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2013,"2013",21937,347,"New York, NY","16000US3651000","new-york-ny"
23,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015",21797,936,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2015,"2015",21781,295,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2018,"2018",21648,824,"New York, NY","16000US3651000","new-york-ny"
17,"Service Occupations",2014,"2014",21495,278,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2016,"2016",21046,479,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2015,"2015",20433,493,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2017,"2017",20365,2582,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2017,"2017",20316,489,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2013,"2013",19863,726,"New York, NY","16000US3651000","new-york-ny"
22,"Food Preparation & Serving Related Occupations",2014,"2014",19808,658,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2016,"2016",19490,876,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2013,"2013",18445,1166,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2014,"2014",17393,735,"New York, NY","16000US3651000","new-york-ny"
24,"Personal Care & Service Occupations",2015,"2015",17291,663,"New York, NY","16000US3651000","new-york-ny"
29,"Farming, Fishing, & Forestry Occupations",2014,"2014",11490,14731,"New York, NY","16000US3651000","new-york-ny"
